Nome;Ruolo;Quotazione;Squadra
SCHINGTIENNE J.;D;9;Venezia
SVERKO M.;D;9;Venezia
TERRACCIANO F.;D;9;Milan
VALENTI L.;D;9;Parma
AKPOGUMA K.;D;8;Frosinone
BIRAGHI C.;D;8;Torino
CANDÈ F.;D;8;Sassuolo
CITTADINI G.;D;8;Frosinone
DOSSENA A.;D;8;Como
GOLDANIGA E.;D;8;Como
HELLAND E.;D;8;Bologna
MORENO M.;D;8;Venezia
NDIAYE A.;D;8;Parma
ODENTHAL C.;D;8;Sassuolo
PUCZKA D.;D;8;Genoa
SAGRADO R.;D;8;Venezia
TCHATO E.;D;8;Frosinone
ZANOLI A.;D;8;Udinese
ZIOLKOWSKI J.;D;8;Monza
EBOSSE E.;D;7;Udinese
GASPAR K.;D;7;Lecce
IDZES J.;D;7;Sassuolo
LULLI E.;D;7;Roma
MITAJ M.;D;7;Genoa
CARBONI F.;D;6;Parma
CASALE N.;D;6;Bologna
JEAN G.;D;6;Lecce
MAZZOCCHI P.;D;6;Venezia
OTOA S.;D;6;Genoa
PIERAGNOLO E.;D;6;Sassuolo
AMEY W.;D;5;Frosinone
ARIZALA J.;D;5;Udinese
DE SILVESTRI L.;D;5;Bologna
DIAWARA S.;D;5;Milan
DROBNIC D.;D;5;Parma
EL AZZOUZI A.;D;5;Frosinone
FAYED O.;D;5;Frosinone
GOMES A.;D;5;Venezia
KOFLER R.;D;5;Cagliari
KOUADIO E.;D;5;Monza
LUCCHESI L.;D;5;Monza
MOHAMMED R.;D;5;Venezia
PALMA M.;D;5;Udinese
NDABA C.;D;4;Lecce
RUGANI D.;D;4;Juventus
ABANKWAH J.;D;3;Udinese
ANTOV V.;D;3;Monza
DEMBÉLÉ A.;D;3;Lecce
SALAH-EDDINE A.;D;3;Roma
BAKOUNE A.;D;2;Monza
MAYE Y.;D;2;Monza
BOVIO L.;D;1;Inter
DE PAOLI C.;D;1;Como
GALASSI B.;D;1;Lazio
LIGUE J.;D;1;Venezia
OBRIC R.;D;1;Atalanta
PAZ Y.;D;1;Sassuolo
UBANI M.;D;1;Lecce
VAZ M.;D;1;Genoa
VLADIMIROV V.;D;1;Milan
